# MLB 2027 schedule - all clubs, all game types
# source: https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2027-01-01&endDate=2027-12-31&gameType=R,E,S,D,L,F,W,A
# retrieved_utc: 2026-09-24T17:54:16Z
# raw_sha256: 47400a178ff91701f9a79c369a6f757807a4b94eb128d470e0185c49e10806e6
# games: 2900 (columns: date_local|start_utc|start_pt|start_et|time_tbd|game_type|away|home|away_id|home_id|venue|status|game_pk)
# time_tbd=true means the league has not published a first pitch; date_local is still official.
2027-03-01||TBD|TBD|true|S|Seattle Mariners|Los Angeles Dodgers|136|119|Camelback Ranch|Scheduled|868269
2027-03-01||TBD|TBD|true|S|St. Louis Cardinals|Miami Marlins|138|146|Roger Dean Chevrolet Stadium|Scheduled|868500
2027-03-01||TBD|TBD|true|S|Tampa Bay Rays|Boston Red Sox|139|111|JetBlue Park|Scheduled|868501
2027-03-02||TBD|TBD|true|S|Boston Red Sox|St. Louis Cardinals|111|138|Roger Dean Chevrolet Stadium|Scheduled|868476
2027-03-02||TBD|TBD|true|S|Colorado Rockies|Texas Rangers|115|140|Surprise Stadium|Scheduled|868261
2027-03-02||TBD|TBD|true|S|Detroit Tigers|Houston Astros|116|117|CACTI Park of the Palm Beaches|Scheduled|868487
2027-03-02||TBD|TBD|true|S|Milwaukee Brewers|Arizona Diamondbacks|158|109|Salt River Fields at Talking Stick|Scheduled|868258
2027-03-02||TBD|TBD|true|S|New York Mets|Atlanta Braves|121|144|CoolToday Park|Scheduled|868495
2027-03-02||TBD|TBD|true|S|Pittsburgh Pirates|Baltimore Orioles|134|110|Ed Smith Stadium|Scheduled|868496
2027-03-02||TBD|TBD|true|S|San Diego Padres|Cincinnati Reds|135|113|Goodyear Ballpark|Scheduled|868250
2027-03-02||TBD|TBD|true|S|San Francisco Giants|Seattle Mariners|137|136|Peoria Stadium|Scheduled|868257
2027-03-02||TBD|TBD|true|S|Toronto Blue Jays|New York Yankees|141|147|George M. Steinbrenner Field|Scheduled|868478
2027-03-03||TBD|TBD|true|S|Arizona Diamondbacks|Colorado Rockies|109|115|Salt River Fields at Talking Stick|Scheduled|868259
2027-03-03||TBD|TBD|true|S|Atlanta Braves|Pittsburgh Pirates|144|134|LECOM Park|Scheduled|868486
2027-03-03||TBD|TBD|true|S|Boston Red Sox|Washington Nationals|111|120|CACTI Park of the Palm Beaches|Scheduled|868483
2027-03-03||TBD|TBD|true|S|Chicago Cubs|Cleveland Guardians|112|114|Goodyear Ballpark|Scheduled|868254
2027-03-03||TBD|TBD|true|S|Chicago White Sox|Milwaukee Brewers|145|158|American Family Fields of Phoenix|Scheduled|868260
2027-03-03||TBD|TBD|true|S|Detroit Tigers|Miami Marlins|116|146|Roger Dean Chevrolet Stadium|Scheduled|868477
2027-03-03||TBD|TBD|true|S|Milwaukee Brewers|Kansas City Royals|158|118|Surprise Stadium|Scheduled|868249
2027-03-03||TBD|TBD|true|S|New York Mets|Minnesota Twins|121|142|Lee Health Sports Complex|Scheduled|868479
2027-03-03||TBD|TBD|true|S|New York Yankees|Philadelphia Phillies|147|143|BayCare Ballpark|Scheduled|868480
2027-03-03||TBD|TBD|true|S|San Francisco Giants|Athletics|137|133|Hohokam Stadium|Scheduled|868255
2027-03-03||TBD|TBD|true|S|Seattle Mariners|Los Angeles Angels|136|108|Tempe Diablo Stadium|Scheduled|868253
2027-03-03||TBD|TBD|true|S|Tampa Bay Rays|Toronto Blue Jays|139|141|TD Ballpark|Scheduled|868488
2027-03-03||TBD|TBD|true|S|Texas Rangers|Los Angeles Dodgers|140|119|Camelback Ranch|Scheduled|868256
2027-03-04||TBD|TBD|true|S|Athletics|Cincinnati Reds|133|113|Goodyear Ballpark|Scheduled|868243
2027-03-04||TBD|TBD|true|S|Atlanta Braves|St. Louis Cardinals|144|138|Roger Dean Chevrolet Stadium|Scheduled|868473
2027-03-04||TBD|TBD|true|S|Baltimore Orioles|Tampa Bay Rays|110|139|Charlotte Sports Park|Scheduled|868463
